employee_name,user_id,O,C,E,A,N,personality_average
Graiden Nehru Zimmerman,GNZ0953,26,18,26,36,29,27.0
Hadassah Riley Baker,HRB0351,19,12,43,42,36,30.4
Zia Shelley Blankenship,ZSB0649,23,25,36,14,26,24.8
Axel Donovan Compton,ADC0391,50,43,40,33,38,40.8
Penelope Montana Colon,PMC0328,20,43,10,36,33,28.4
Idola Lana Jarvis,ILJ0526,33,50,23,46,25,35.4
Amaya Noelle Terrell,ANT0430,12,19,23,48,31,26.6
Dean Flynn Hines,DFH0188,35,40,18,38,24,31.0
Lee Lacey Velez,LLV0602,36,10,36,37,33,30.4
Grace Charde Roth,GCR0554,16,16,41,23,37,26.6
Samson Jeremy Ortega,SJO0209,39,45,18,39,35,35.2
Nadine Gay Cross,NGC0058,44,45,39,15,27,34.0
Yolanda Idona Crosby,YIC0195,18,49,19,40,31,31.4
Eden Deborah Ball,EDB0714,21,23,35,26,29,26.8
Lacota Hilda Lindsey,LHL0309,19,34,27,46,37,32.6
Heather Fredericka Baird,HFB0347,34,20,30,30,27,28.2
Elton Jonas Williamson,EJW0884,46,20,32,26,31,31.0
Cathleen Risa Oneal,CRO0027,19,30,28,46,26,29.8
Halee Keiko Rhodes,HKR0628,21,16,17,16,25,19.0
Grant Tyrone Doyle,GTD0116,43,19,45,20,31,31.6
Daryl Skyler Brock,DSB0731,26,15,40,43,30,30.8
Clio Ocean Faulkner,COF0120,14,12,38,13,35,22.4
Hope Dawn Jensen,HDJ0446,18,17,45,27,35,28.4
Cedric Herrod Gilliam,CHG0146,40,20,39,19,35,30.6
Aline Iris Hurst,AIH0675,25,39,38,40,37,35.8
Troy Nicolas Molina,TNM0961,37,50,39,17,32,35.0
Aaron Porter Gutierrez,APG0307,43,39,36,43,22,36.6
Roth Hu Conner,RHC0335,36,35,40,46,25,36.4
Chastity Quyn Wilkerson,CQW0652,10,22,48,20,33,26.6
Honorato John Sloan,HJS0072,44,42,19,19,31,31.0
Xerxes Howard Wilcox,XHW0498,37,47,48,23,35,38.0
Isadora Jael Waters,IJW0851,21,10,10,18,34,18.6
Nigel Addison Rios,NAR0981,39,39,16,50,36,36.0
Nero Uriel Little,NUL0471,35,38,38,26,37,34.8
Drew Ivan Beck,DIB0081,34,45,14,28,33,30.8
Brenden Samuel Shaffer,BSS0369,39,42,34,14,32,32.2
Margaret Illana Burch,MIB0904,22,21,34,38,25,28.0
Athena Amelia Foreman,AAF0535,17,21,36,33,31,27.6
Hayden Bernard Benson,HBB0056,37,33,30,21,27,29.6
Melodie Chantale Joyce,MCJ0324,28,20,40,20,36,28.8
Hashim Damon Hebert,HDH0928,40,36,20,40,26,32.4
Holly Xerxes Lara,HXL0968,45,21,35,40,34,35.0
Macaulay Otto Hopkins,MOH0273,39,40,47,50,26,40.4
Keiko Naida Webb,KNW0644,15,20,23,15,25,19.6
Cullen Gary Adams,CGA0629,36,35,24,49,28,34.4
Nell Mari Schneider,NMS0280,39,42,26,37,27,34.2
Tad Harlan Duncan,THD0448,41,32,29,38,32,34.4
Scarlet Pearl Ashley,SPA0141,43,22,10,21,29,25.0
Lenore Piper Cardenas,LPC0492,30,23,22,30,26,26.2
Benjamin Tyrone Norman,BTN0061,42,21,22,20,22,25.4
Hanae Gay Hogan,HGH0595,41,14,22,39,29,29.0
Brielle Aubrey Marks,BAM0611,25,30,39,23,25,28.4
Kessie Kay Cooper,KKC0683,32,37,37,48,35,37.8
Buckminster Benjamin Swanson,BBS0422,39,42,29,41,18,33.8
Hedy Delilah Lopez,HDL0748,25,13,46,41,25,30.0
Nissim Rafael Delacruz,NRD0548,41,37,41,15,31,33.0
Donovan Carlos Chapman,DCC0160,36,39,33,42,27,35.4
Minerva Emerald Solomon,MES0407,38,44,25,47,37,38.2
Leonard Malachi Floyd,LMF0980,42,45,12,44,35,35.6
Barry Martin Mason,BMM0112,40,36,24,40,25,33.0
Leila Tallulah Steele,LTS0860,48,20,29,20,31,29.6
Armand Odysseus Key,AOK0844,11,30,44,26,31,28.4
Eaton Samuel Jennings,ESJ0670,42,31,15,40,24,30.4
Aladdin Abraham Foley,AAF0791,14,40,40,50,34,35.6
Kirby Ruby Lyons,KRL0501,18,27,23,28,26,24.4
Serina Amena Chavez,SAC0592,24,18,23,42,26,26.6
Uriel Charles Solomon,UCS0227,22,32,41,35,34,32.8
Jared Cameron Rosa,JCR0770,40,47,24,21,27,31.8
Ivy Charissa Solis,ICS0956,22,20,18,35,26,24.2
Macy Karleigh Winters,MKW0441,15,25,45,20,34,27.8
Tana Sonya Moody,TSM0927,33,21,10,37,26,25.4
Octavius Judah Kirby,OJK0233,40,36,14,22,33,29.0
Stephanie Mary Whitehead,SMW0084,20,37,39,48,27,34.2
Barclay Eaton Hensley,BEH0615,24,20,50,22,26,28.4
Ariana Doris Frazier,ADF0397,39,16,10,40,35,28.0
Nicolas James Cantu,NJC0705,43,39,29,36,31,35.6
Bertha Yetta Parrish,BYP0070,30,19,41,21,33,28.8
Jane Maite Dotson,JMD0520,21,45,16,38,29,29.8
Lucas Ahmed Ferrell,LAF0991,40,39,36,22,34,34.2
Kay Brynne Spears,KBS0874,23,39,37,33,29,32.2
Genevieve Hyacinth Head,GHH0288,12,36,40,36,30,30.8
Timothy Arthur Carroll,TAC0300,15,38,18,18,36,25.0
Jaquelyn Angelica Jimenez,JAJ0849,22,24,23,23,33,25.0
Nevada Odette Bass,NOB0181,31,21,21,41,25,27.8
Daquan Tucker Pugh,DTP0379,45,42,15,37,27,33.2
Colorado Joel Merrill,CJM0138,10,40,21,17,23,22.2
Fallon Harriet Shelton,FHS0837,23,37,14,42,34,30.0
Chelsea Aspen Allen,CAA0612,20,41,32,42,31,33.2
Echo Leandra Torres,ELT0769,19,20,20,27,35,24.2
Katell Jasmine Wiggins,KJW0416,50,46,39,41,30,41.2
Cairo Theodore Robles,CTR0341,45,39,23,13,28,29.6
Dolan Igor Cortez,DIC0988,44,30,23,21,32,30.0
Jane Justina Hunt,JJH0292,35,23,38,39,28,32.6
Mira Jamalia Snow,MJS0890,10,26,16,11,29,18.4
Tarik Odysseus Rivera,TOR0193,30,40,25,45,30,34.0
Sophia Cora Battle,SCB0534,20,18,35,22,29,24.8
Maxwell Dante Hutchinson,MDH0686,37,43,31,20,38,33.8
Jonathan Orlando Marsh,JOM0750,35,46,25,40,29,35.0
Burke Randall Burnett,BRB0355,33,21,37,19,29,27.8
Macon Joseph Morrison,MJM0510,32,33,22,18,39,28.8
Kibo Josiah Murray,KJM0887,31,47,14,16,32,28.0
Courtney Brynn Garrett,CBG0398,40,21,41,10,24,27.2
Raya Regan Church,RRC0553,40,14,24,38,29,29.0
Tara Dai Stevenson,TDS0984,39,39,15,40,38,34.2
Libby Rosalyn Richard,LRR0148,21,19,14,14,29,19.4
Amelia Rhoda Burgess,ARB0834,40,42,40,49,26,39.4
Kareem Porter Collins,KPC0073,44,30,11,16,23,24.8
Charde Lareina Barrett,CLB0774,49,23,22,17,31,28.4
Valentine Elton Britt,VEB0935,46,37,39,20,32,34.8
Macey Christen Turner,MCT0720,34,12,20,22,37,25.0
Jameson Damian Franco,JDF0593,30,45,11,41,29,31.2
Callum Jasper Gilmore,CJG0470,44,45,22,32,24,33.4
Riley Ginger Guy,RGG0064,36,19,20,42,34,30.2
Bethany Xerxes Johnson,BXJ0010,46,24,30,35,34,33.8
William Beau Callahan,WBC0315,40,37,40,45,24,37.2
Claudia Galena Baldwin,CGB0637,20,20,15,20,29,20.8
Chadwick Armand Nunez,CAN0842,38,41,22,39,29,33.8
Hyatt Trevor Hayes,HTH0007,37,38,41,20,36,34.4
Bell Jorden Martinez,BJM0111,22,24,39,41,19,29.0
Meredith Ainsley Wolf,MAW0166,44,16,21,17,34,26.4
Preston Plato Fischer,PPF0435,42,17,48,24,27,31.6
Samuel Eden James,SEJ0677,44,39,23,36,25,33.4
Alden Caesar Velez,ACV0812,42,37,12,45,28,32.8
Kane Walter Eaton,KWE0082,38,43,19,48,35,36.6
Edan Ciaran Larson,ECL0930,28,24,40,18,29,27.8
Randall Hashim Palmer,RHP0484,35,37,24,16,31,28.6
Brenda Alika Matthews,BAM0636,13,40,46,42,39,36.0
Dale Dorian Mercado,DDM0579,33,45,30,37,26,34.2
Ursula Idona Richard,UIR0043,19,37,23,38,32,29.8
Jaquelyn Cassandra Roberson,JCR0172,43,41,41,39,31,39.0
Aquila Tanner Ellison,ATE0869,13,15,40,44,33,29.0
Isadora Blaine Shepherd,IBS0836,10,44,50,38,27,33.8
Dylan Tiger Terry,DTT0076,42,16,34,24,28,28.8
Price Rashad Mullen,PRM0740,45,40,45,42,27,39.8
Florence Gloria Whitney,FGW0853,25,35,20,40,39,31.8
Judith Shaeleigh Hayden,JSH0330,20,16,23,24,28,22.2
Ferris Stone Bender,FSB0399,23,22,15,37,26,24.6
